epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,61.1344,1.08575,1.1056,1.11322,0.45382,0.48246,0.45166,0.30056,1.10744,1.38725,1.14387,0.000848969,0.000848969,0.000848969
43,62.5484,1.05701,1.05385,1.08223,0.47703,0.49308,0.47666,0.31118,1.09489,1.31645,1.13836,0.000834822,0.000834822,0.000834822
44,63.9972,1.09453,1.10203,1.10306,0.45751,0.50666,0.47536,0.31326,1.08115,1.27098,1.13491,0.000820675,0.000820675,0.000820675
45,65.4172,1.06393,1.03234,1.08801,0.45751,0.50666,0.47536,0.31326,1.08115,1.27098,1.13491,0.000806528,0.000806528,0.000806528
46,66.805,1.06226,1.05642,1.10555,0.44033,0.52019,0.47547,0.3184,1.07953,1.26504,1.13966,0.00079238,0.00079238,0.00079238
47,68.3651,1.01409,0.9992,1.08026,0.40354,0.53515,0.46375,0.3031,1.14471,1.31186,1.16118,0.000778233,0.000778233,0.000778233
48,69.6223,1.03516,0.99304,1.08594,0.4416,0.54366,0.50292,0.32405,1.15768,1.2746,1.16881,0.000764086,0.000764086,0.000764086
49,71.0253,1.10013,1.03284,1.09428,0.4416,0.54366,0.50292,0.32405,1.15768,1.2746,1.16881,0.000749939,0.000749939,0.000749939
50,72.478,1.00554,0.97922,1.06575,0.49822,0.59968,0.54402,0.34932,1.11679,1.22732,1.15002,0.000735792,0.000735792,0.000735792
51,73.9868,1.04926,0.96587,1.08946,0.5157,0.59166,0.56098,0.3667,1.08556,1.20736,1.13644,0.000721645,0.000721645,0.000721645
52,75.4095,1.01784,0.95264,1.07494,0.54892,0.58282,0.57022,0.35965,1.10566,1.20043,1.13737,0.000707498,0.000707498,0.000707498
53,76.8951,1.10343,1.03058,1.08043,0.54892,0.58282,0.57022,0.35965,1.10566,1.20043,1.13737,0.000693351,0.000693351,0.000693351
